决斗中不能更改此选项。,決斗中不能更改此選項。,This Option Cannot Be Changed During a Duel.,Cette option ne peut pas être modifiée pendant un Duel.,Diese Option kann während eines Duells nicht geändert werden.,Questa opzione non può essere cambiata durante un Duello.,Não pode ser alterado durante duelo.,Esta opción no se puede cambiar durante un duelo.,デュエル中にこの設定を変更できません,듀얼 중에 이 설정을 변경할 수 없습니다
场地背景音乐,場地背景音樂,Duel Field BGM,Musique du terrain de Duel,Hintergrundmusik für Spielfeld,Musica del Terreno di Duello,Música do Campo,Música de fondo del escenario,フィールドＢＧＭ,필드 BGM
场地背景音乐由哪方决定,場地背景音樂由哪方決定,Duel Field BGM Decided By,Musique décidée par le terrain de Duel du joueur,Spielfeld-Hintergrundmusik wird bestimmt durch,Musica del Terreno di Duello determinata da,Música do Campo definida por,¿Quién decide la música de fondo del escenario?,フィールドＢＧＭを決めるプレイヤー,필드 BGM을 정할 플레이어
#Setting Duel,,,,,,,,,
外观,外觀,Profile,Profil,Profil,Profilo,Perfil,Apariencia,プロフィール,프로필
决斗中的各种外观,決斗中的各種外觀,Profile and Accessories in Duel,Profil et accessoires en Duel,Profil und Zubehör im Duell,Profilo E Accessori Nel Duello,Perfil e Acessórios de Duelo,Perfil y accesorios en el duelo,デュエルのプレイヤー名、テーマやアクセサリー等々の編集,"듀얼 플레이어명, 테마나 액세서리 등의 편집"
观战中的各种外观,觀戰中的各種外觀,Profile and Accessories in Spectate,Profil et accessoires en Spectateur,Profil und Zubehör beim Zuschauen,Profilo E Accessori Nella Modalità Spettatore,Perfil e Acessórios ao Assistir,Perfil y accesorios en modo espectador,観戦のプレイヤー名、テーマやアクセサリー等々の編集,"관전 플레이어명, 테마나 액세서리 등의 편집"
回放中的各种外观,回放中的各種外觀,Profile and Accessories in Replay,Profil et accessoires en Replay,Profil und Zubehör in Wiederholungen,Profili E Accessori Nel Replay,Perfil e Acessórios no Replay,Perfil y accesorios en la repetición,リプレイのプレイヤー名、テーマやアクセサリー等々の編集,"리플레이 플레이어명, 테마나 액세서리 등의 편집"
角色,角色,Character,Personnage,Charakter,Personaggio,Personagem,Personaje,キャラクター,캐릭터
决斗中语音功能的角色,決斗中語音功能的角色,Character in Duel,Personnage en Duel,Charakter im Duell,Personaggio Nel Duello,Personagem de Duelo,Personaje en el duelo,デュエルのキャラクターボイス,듀얼의 캐릭터 보이스
观战中语音功能的角色,觀戰中語音功能的角色,Character in Spectate,Personnage en Spectateur,Charakter beim Zuschauen,Personaggio Nella Modalità Spettatore,Personagem ao Assistir,Personaje en modo espectador,観戦のキャラクターボイス,관전의 캐릭터 보이스
回放中语音功能的角色,回放中語音功能的角色,Character in Replay,personnage en Replay,Charakter in Wiederholungen,Personaggio Nel Replay,Personagem no Replay,Personaje en la repetición,リプレイのキャラクターボイス,리플레이의 캐릭터 보이스
语音功能,語音功能,Character Voice Function,Voix de personnage,Charakterstimmen-Funktion,Funzione Voce Personaggio,Vozes de Personagens,Función de voz,ボイス,보이스
决斗中的动漫角色语音功能,決斗中的動漫角色語音功能,Character Voice Function in Duel,Voix de personnage en Duel,Charakterstimmen im Duell,Funzione Voce Personaggio Nel Duello,Vozes de Personagens no Duelo,Función de voz de personajes en el duelo,デュエル中のキャラクターボイス機能,듀얼 중의 캐릭터 보이스 기능
观战中的动漫角色语音功能,觀戰中的動漫角色語音功能,Character Voice Function in Spectate,Voix de personnage en Spectateur,Charakterstimmen beim Zuschauen,Funzione Voce Personaggio Nella Modalità Spettatore,Vozes de Personagens ao Assistir,Función de voz de personajes en modo espectador,観戦中のキャラクターボイス機能,관전 중의 캐릭터 보이스 기능
回放中的动漫角色语音功能,回放中的動漫角色語音功能,Character Voice Function in Replay,Voix du personnage en Replay,Charakterstimmen in Wiederholungen,Funzione Voce Personaggio Nel Replay,Vozes de Personagens no Replay,Función de voz de personajes en la repetición,リプレイ中のキャラクターボイス機能,리플레이 중의 캐릭터 보이스 기능
怪兽立绘,怪獸立繪,Hologram,Hologramme,Hologramm,Ologramma,Holograma,Imagen de monstruo,立ち絵,일러스트
决斗中的怪兽卡上方展示立绘,決斗中的怪獸卡上方展示立繪,Display Hologram above Monster in Duel,Afficher l'hologramme au-dessus du monstre en Duel,Zeigt Hologramm über Monster im Duell,Mostra Ologramma Sopra Il Mostro Nel Duello,Exibe Holograma sobre os monstros no Duelo,Mostrar imagen del monstruo encima de la carta en el duelo,デュエル中にモンスターカードの上に立ち絵を表示する,듀얼 중에 몬스터 카드 위에 일러스트 표시
观战中的怪兽卡上方展示立绘,觀戰中的怪獸卡上方展示立繪,Display Hologram above Monster in Spectate,Afficher l'hologramme au-dessus du monstre en Spectateur,Zeigt Hologramm über Monster beim Zuschauen,Mostra Ologramma Sopra Il Mostro Nella Modalità Spettatore,Exibe Holograma sobre os monstros ao Assistir,Mostrar imagen del monstruo encima de la carta en modo espectador,観戦中にモンスターカードの上に立ち絵を表示する,관전 중에 몬스터 카드 위에 일러스트 표시
回放中的怪兽卡上方展示立绘,回放中的怪獸卡上方展示立繪,Display Hologram above Monster in Replay,Afficher l'hologramme au-dessus du monstre en Replay,Zeigt Hologramm über Monster in Wiederholungen,Mostra Ologramma Sopra Il Mostro Nel Replay,Exibe Holograma sobre os monstros no Replay,Mostrar imagen del monstruo encima de la carta en la repetición,リプレイ中にモンスターカードの上に立ち絵を表示する,리플레이 중에 몬스터 카드 위에 일러스트 표시
召唤特效,召喚特效,Summon Animation,Animation d'invocation spéciales,Beschwörungsanimation,Animazione Di Evocazione,Efeitos de Invocação,Efectos de invocación,特殊召喚時の演出,특수 소환시의 연출
决斗中的融合、同调等召唤特效,決斗中的融合、同調等召喚特效,Fusion/Ritual..etc Summon Animation in Duel,Animation d'invocation Fusion/Rituel.. etc en Duel,Fusions-/Ritualbeschwörung usw. im Duell,Animazione Di Evocazione tramite Fusione/Rituale/etc Nel Duello,Efeitos de Invocação Fusão/Sincro etc. no Duelo,"Fusión, sincronización y otros efectos especiales de invocación en el duelo",デュエル中の儀式、融合、シンクロ、ＸＹＺ、リンク召喚行う際に演出を出します,"듀얼 중의 의식, 융합, 싱크로, 엑시즈, 링크 소환 시 연출"
观战中的融合、同调等召唤特效,觀戰中的融合、同調等召喚特效,Fusion/Ritual..etc Summon Animation in Spectate,Animation d'invocation Fusion/Rituel.. etc en Spectateur,Fusions-/Ritualbeschwörung usw. beim Zuschauen,Animazione Di Evocazione tramite Fusione/Rituale/etc Nella Modalità Spettatore,Efeitos de Invocação Fusão/Sincro etc. ao Assistir,"Fusión, sincronización y otros efectos especiales de invocación en modo espectador",観戦中の儀式、融合、シンクロ、ＸＹＺ、リンク召喚行う際に演出を出します,"관전 중의 의식, 융합, 싱크로, 엑시즈, 링크 소환 시 연출"
回放中的融合、同调等召唤特效,回放中的融合、同調等召喚特效,Fusion/Ritual..etc Summon Animation in Replay,Animation d'invocation Fusion/Rituel.. etc en Replay,Fusions-/Ritualbeschwörung usw. in Wiederholungen,Animazione Di Evocazione tramite Fusione/Rituale/etc Nel Replay,Efeitos de Invocação Fusão/Sincro etc. no Replay,"Fusión, sincronización y otros efectos especiales de invocación en la repetición",リプレイ中の儀式、融合、シンクロ、ＸＹＺ、リンク召喚行う際に演出を出します,"리플레이 중의 의식, 융합, 싱크로, 엑시즈, 링크 소환 시 연출"
灵摆特效,靈擺特效,Pendulum Animation,Animation Pendule,Pendulum-Animation,Animazione Evocazione Pendulum,Efeitos de Pêndulo,Efectos del péndulo,Ｐ召喚時の演出,펜듈럼 소환시의 연출
决斗中的灵摆召唤特效,決斗中的靈擺召喚特效,Pendulum Summon Animation in Duel,Animation d'invocation Pendule en Duel,Pendulum-Beschwörung im Duell,Animazione Di Evocazione Pendulum Nel Duello,Efeitos de Invocação Pêndulo no Duelo,Efectos especiales al invocar por péndulo en el duelo,デュエル中のペンデュラム召喚時の演出,듀얼 중의 펜듈럼 소환시 연출
观战中的灵摆召唤特效,觀戰中的靈擺召喚特效,Pendulum Summon Animation in Spectate,Animation d'invocation Pendule en Spectateur,Pendulum-Beschwörung beim Zuschauen,Animazione Di Evocazione Pendulum Nella Modalità Spettatore,Efeitos de Invocação Pêndulo ao Assistir,Efectos especiales al invocar por péndulo en modo espectador,観戦中のペンデュラム召喚時の演出,관전 중의 펜듈럼 소환시 연출
回放中的灵摆召唤特效,回放中的靈擺召喚特效,Pendulum Summon Animation in Replay,Animation d'invocation Pendule en Replay,Pendulum-Beschwörung in Wiederholungen,Animazione Di Evocazione Pendulum Nel Replay,Efeitos de Invocação Pêndulor no Replay,Efectos especiales al invocar por péndulo en la repetición,リプレイ中のペンデュラム召喚時の演出,리플레이 중의 펜듈럼 소환시 연출
召唤动画,召喚動畫,Summon Cut-in,Animations d'Invocations,Animation bei Beschwörung,Animazione Di Evocazione,Animação de Invocação,Animación de invocación,召唤時の演出,소환시의 연출
决斗中怪兽的登场切入动画,決斗中怪獸的登場切入動畫,Display Monster Summon Cut-in in Duel,Afficher les Animations d'Invocations de Monstre en Duel,Monsterbeschwörung mit Animation im Duell anzeigen,Mostra Animazione Di Evocazione Mostro Nel Duello,Animação ao Invocar monstros no Duelo,Animación al invocar un monstruo en el duelo,デュエル中のモンスターの召唤カットイン演出,듀얼 중의 몬스터 소환 컷인 연출
观战中怪兽的登场切入动画,觀戰中怪獸的登場切入動畫,Display Monster Summon Cut-in in Spectation,Afficher les Animations d'Invocations de Monstre en Spectation,Monsterbeschwörung mit Animation beim Zuschauen anzeigen,Mostra Animazione Di Evocazione Mostro Nella Modalità Spettatore,Animação de Invocação ao Assistir,Animación al invocar un monstruo en modo espectador,観戦中のモンスターの召唤カットイン演出,관전 중의 몬스터 소환 컷인 연출
回放中怪兽的登场切入动画,回放中怪獸的登場切入動畫,Display Monster Summon Cut-in in Replay,Afficher les Animations d'Invocations de Monstre en Replay,Monsterbeschwörung mit Animation in Wiederholungen anzeigen,Mostra Animazione Di Evocazione Mostro Nel Replay,Animação de Invocação no Replay,Animación al invocar un monstruo en la repetición,リプレイ中のモンスターの召唤カットイン演出,리플레이 중의 몬스터 소환 컷인 연출
效果动画,效果動畫,Special Card Animation Effects,Effets spéciaux d'animation de cartes,Animationseffekte für Spezialkarten,Effetti di Animazione Per Carte Speciali,Animação de Efeito,Animación de efectos,カードの効果演出,카드 효과 연출
决斗中卡片效果处理时的动画,決斗中卡片效果處理時的動畫,Special Card Animation Effects in Duel,Effets spéciaux d'animation de cartes en Duel,Spezialkarten-Effekte im Duell,Effetti di Animazione Per Carte Speciali Nel Duello,Animação ao ativar Efeitos no Duelo,Animación al procesar los efectos de cartas en el duelo,デュエル中の特定なカードの効果演出,듀얼 중의 특정 카드 효과 연출
观战中卡片效果处理时的动画,觀戰中卡片效果處理時的動畫,Special Card Animation Effects in Spectate,Effets spéciaux d'animation de carte en Spectateur,Spezialkarten-Effekte beim Zuschauen,Effetti di Animazione Per Carte Speciali Nella Modalità Spettatore,Animação de Efeitos ao Assistir,Animación al procesar los efectos de cartas en modo espectador,観戦中の特定なカードの効果演出,관전 중의 특정 카드 효과 연출
回放中卡片效果处理时的动画,回放中卡片效果處理時的動畫,Special Card Animation Effects in Replay,Effets spéciaux d'animation de cartes en Replay,Spezialkarten-Effekte in Wiederholungen,Effetti di Animazione Per Carte Speciali Nel Replay,Animação de Efeitos no Replay,Animación al procesar los efectos de cartas en la repetición,リプレイの特定なカードの効果演出,리플레이 중의 특정 카드 효과 연출
连锁动画,連鎖動畫,Chain Effect Animation,Animation d'effet de chaîne,Ketteneffekt-Animation,Animazione Della Catena,Animação de Corrente,Animación de cadena,チェーン動画,체인 애니메이션
决斗中效果连锁时的动画,決斗中效果連鎖處理時的動畫,Chain Effect Animation in Duel,Animation d'effet de chaîne en Duel,Ketteneffekte im Duell anzeigen,Animazione Della Catena Nel Duello,Animação de Correntes de efeito no Duelo,Animación de cadena en el duelo,デュエル中のチェーン処理エフェクト,듀얼 중의 체인 처리 효과
观战中效果连锁时的动画,觀戰中效果連鎖處理時的動畫,Chain Effect Animation in Spectate,Animation d'effet de chaîne en Spectateur,Ketteneffekte beim Zuschauen anzeigen,Animazione Della Catena Nella Modalità Spettatore,Animação de Correntes de efeito ao Assistir,Animación de cadena en modo espectador,観戦中のチェーン処理エフェクト,관전 중의 체인 처리 효과
回放中效果连锁时的动画,回放中效果連鎖處理時的動畫,Chain Effect Animation in Replay,Animation d'effet de chaîne en Replay,Ketteneffekte in Wiederholungen anzeigen,Animazione Della Catena Nel Replay,Animação de Correntes de efeito no Replay,Animación de cadena en la repetición,リプレイのチェーン処理エフェクト,리플레이 중의 체인 처리 효과
骰子动画,骰子動畫,Dice Animation,Animation de dés,Würfel-Animation,Animazione Del Dado,Animação de Dado,Animación de dado,ダイス動画,주사위 애니메이션
决斗中的掷骰子动画,決斗中的擲骰子動畫,Dice Animation in Duel,Animation de dés en Duel,Würfelwurf im Duell,Animazione Del Dado Nel Duello,Animação ao rolar dados no Duelo,Animación al lanzar dado en el duelo,デュエル中のダイスを振るエフェクト,듀얼 중의 주사위 굴리는 효과
观战中的掷骰子动画,觀戰中的擲骰子動畫,Dice Animation in Spectate,Animation de dés en Spectateur,Würfelwurf beim Zuschauen,Animazione Del Dado Nella Modalità Spettatore,Animação de rolar dados ao Assistir,Animación al lanzar dado en modo espectador,観戦中のダイスを振るエフェクト,관전 중의 주사위 굴리는 효과
回放中的掷骰子动画,回放中的擲骰子動畫,Dice Animation in Replay,Animation de dés en Replay,Würfelwurf in Wiederholungen,Animazione Del Dado Nel Replay,Animação de rolar dados no Replay,Animación al lanzar dado en la repetición,リプレイ中のダイスを振るエフェクト,리플레이 중의 주사위 굴리는 효과
硬币动画,硬幣動畫,Coin Flip Animation,Animation de pile ou face,Münzwurf-Animation,Animazione Del Lancio Della Moneta,Animação de Moeda,Animación de moneda,コイントス動画,코인 토스 애니메이션
决斗中的抛硬币动画,決斗中的拋硬幣動畫,Coin Flip Animation in Duel,Animation de pile ou face en Duel,Münzwurf im Duell,Animazione Del Lancio Della Moneta Nel Duello,Animação ao lançar moeda no Duelo,Animación al lanzar moneda en el duelo,デュエル中のコイントスを投げるエフェクト,듀얼 중의 코인 토스 효과
观战中的抛硬币动画,觀戰中的拋硬幣動畫,Coin Flip Animation in Spectate,Animation de pile ou face en Spectateur,Münzwurf beim Zuschauen,Animazione Del Lancio Della Moneta Nella Modalità Spettatore,Animação de lançar moeda ao Assistir,Animación al lanzar moneda en modo espectador,観戦中のコイントスを投げるエフェクト,관전 중의 코인 토스 효과
回放中的抛硬币动画,回放中的拋硬幣動畫,Coin Flip Animation in Replay,Animation de pile ou face en Replay,Münzwurf in Wiederholungen,Animazione Del Lancio Della Moneta Nel Replay,Animação de lançar moeda no Replay,Animación al lanzar moneda en la repetición,リプレイのコイントスを投げるエフェクト,리플레이 중의 코인 토스 효과
卡片信息,卡片信息,Card Info,Informations sur les cartes,Karteninfo,Informazioni Della Carta,Informações do Card,Info de cartas,カード情報,카드 정보
决斗中的卡片登场与发动效果时自动展示卡片效果栏,決斗中的卡片登場與發動效果時自動展示卡片效果欄,Automatically Display the Card Effect Panel When A Card Enters the Field Or An Effect Activates In Duels.,Afficher automatiquement le panneau des effets de carte lorsqu'une carte entre sur le Terrain ou qu'un effet s'active en Duel.,"Kartentexte anzeigen, wenn sie öffentlich sind – im Duell",Mostra automaticamente il pannello degli effetti della carta quando una carta viene piazzata sul Terreno o si attiva un effetto nei Duelli.,Exibe janela de detalhes do Card no Duelo,Mostrar automáticamente el panel de efecto de carta cuando una carta entra en el Campo o se activa un efecto en los Duelos.,デュエル中カードを公開した時のみカードの説明を出します,듀얼 중 카드 공개 시에만 카드 설명 연출
观战中的卡片登场与发动效果时自动展示卡片效果栏,觀戰中的卡片登場與發動效果時自動展示卡片效果欄,Automatically Display the Card Effect Panel When A Card Enters the Field Or An Effect Activates While Spectating.,Afficher automatiquement le panneau des effets de carte lorsqu'une carte entre sur le Terrain ou qu'un effet s'active en mode Spectateur.,"Kartentexte anzeigen, wenn sie öffentlich sind – beim Zuschauen",Mostra automaticamente il pannello degli effetti della carta quando una carta viene piazzata sul Terreno o si attiva un effetto durante la modalità Spettatore.,Exibe janela de detalhes do Card ao Assistir,Mostrar automáticamente el panel de efecto de carta cuando una carta entra en el Campo o se activa un efecto en el Modo Espectador.,観戦中カードを公開した時のみカードの説明を出します,관전 중 카드 공개 시에만 카드 설명 연출
回放中的卡片登场与发动效果时自动展示卡片效果栏,回放中的卡片登場與發動效果時自動展示卡片效果欄,Automatically Display the Card Effect Panel When A Card Enters the Field Or An Effect Activates During Replays.,Afficher automatiquement le panneau des effets de carte lorsqu'une carte entre sur le Terrain ou qu'un effet s'active en mode Replay.,"Kartentexte anzeigen, wenn sie öffentlich sind – in Wiederholungen",Mostra automaticamente il pannello degli effetti della carta quando una carta viene piazzata sul Terreno o si attiva un effetto durante i Replay.,Exibe janela de detalhes do Card no Replay,Mostrar automáticamente el panel de efecto de carta cuando una carta entra en el Campo o se activa un efecto durante las Repeticiones.,リプレイ中カードを公開した時のみカードの説明を出します,리플레이 중 카드 공개 시에만 카드 설명 연출
玩家消息,玩家消息,Player Message,Message du joueur,Spielernachrichten,Messaggio Del Giocatore,Mensagens do Jogador,Mensajes del jugador,チャット情報,대화 정보
决斗中的玩家消息,決鬥中的玩家消息,Player Message in Duel,Message du joueur en Duel,Spielernachrichten im Duell,Messaggio Del Giocatore Nel Duello,Mensagens do Jogador no Duelo,Mensajes de los jugadores durante el duelo,デュエル中のチャット表示,듀얼 중 대화 표시
观战中的玩家消息,觀戰中的玩家消息,Player Message in Spectate,Message du joueur en Spectateur,Spielernachrichten beim Zuschauen,Messaggio Del Giocatore Nella Modalità Spettatore,Mensagens do Jogador ao Assistir,Mensajes de los jugadores en modo espectador,観戦中のチャット表示,관전 중 대화 표시
回放中的玩家消息,回放中的玩家消息,Player Message in Replay,Message du joueur en Replay,Spielernachrichten in Wiederholungen,Messaggio Del Giocatore Nel Replay,Mensagens do Jogador no Replay,Mensajes de los jugadores en la repetición,リプレイのチャット表示,리플레이 중 대화 표시
系统消息,系統消息,System Message,Message système,Systemnachrichten,Messaggio Del Sistema,Mensagens do Sistema,Mensajes del sistema,システム情報,시스템 정보
决斗中的系统消息,決鬥中的系統消息,System Message in Duel,Message système en Duel,Systemnachrichten im Duell,Messaggio Del Sistema Nel Duello,Mensagens do Sistema no Duelo,Mensajes del sistema durante el duelo,デュエル中のシステム情報,듀얼 중 시스템 정보
观战中的系统消息,觀戰中的系統消息,System Message in Spectate,Message système en Spectateur,Systemnachrichten beim Zuschauen,Messaggio Del Sistema Nella Modalità Spettatore,Mensagens do Sistema ao Assistir,Mensajes del sistema en modo espectador durante el duelo,観戦中のシステム情報,관전 중 시스템 정보
回放中的系统消息,回放中的系統消息,System Message in Replay,Message système en Replay,Systemnachrichten in Wiederholungen,Messaggio Del Sistema Nel Replay,Mensagens do Sistema no Replay,Mensajes del sistema durante la repetición de un duelo,リプレイのシステム情報,리플레이 중 시스템 정보
加速倍率,加速倍率,Speed Up Rate,Taux d'accélération,Beschleunigungsrate,Velocità Accelerazione,Velocidade,Tasa de aceleración,加速倍率,가속 배율
自动加速,自動加速,Auto Speed Up,Accélération automatique,Automatische Beschleunigung,Accelerazione Automatica,Aceleração Automática,Aceleración automática,自動加速,자동 가속
决斗开始时自动进入加速状态,決鬥開始時自動進入加速狀態,Auto Speed Up in Duel,Accélération automatique en Duel,Automatische Beschleunigung im Duell,Accelerazione Automatica Nel Duello,Aceleração Automática no Duelo,Entra automáticamente en modo acelerado al iniciar el duelo,デュエル開始時に加速状態になる,듀얼 시작 시 자동으로 가속 상태로 전환
观战开始时自动进入加速状态,觀戰開始時自動進入加速狀態,Auto Speed up in Spectate,Accélération automatique en Spectateur,Automatische Beschleunigung beim Zuschauen,Accelerazione Automatica Nella Modalità Spettatore,Aceleração Automática ao Assistir,Entra automáticamente en modo acelerado al observar un duelo,観戦開始時に加速状態になる,관전 시작 시 자동으로 가속 상태로 전환
回放开始时自动进入加速状态,回放開始時自動進入加速狀態,Auto Speed Up in Replay,Accélération automatique en Replay,Automatische Beschleunigung in Wiederholungen,Accelerazione Automatica Nel Replay,Aceleração Automática no Replay,Entra automáticamente en modo acelerado al iniciar la repetición,リプレイ開始時に加速状態になる,리플레이 시작 시 자동으로 가속 상태로 전환
显示盖卡,顯示蓋卡,Show Face-Down Card,Afficher les cartes face cachée,Setzkarte anzeigen,Mostra Carte Coperte,Mostrar Cards Virados,Mostrar cartas boca abajo,セットカードの透過表示,세트 카드 투과 표시
决斗中显示已知盖卡,決鬥中顯示已知蓋卡,Show Known Face-Down Card in Duel,Afficher les cartes connues face cachée en Duel,Bekannte verdeckte Karten im Duell anzeigen,Mostra Carte Coperte Conosciute Nel Duello,Mostrar cards virados conhecidos no Duelo,Mostrar cartas boca abajo conocidas en el duelo,デュエル中に公開情報のセットカードを透過で表示する,듀얼 중에 공개 정보인 세트 카드 투과 표시
观战中显示已知盖卡,觀戰中顯示已知蓋卡,Show Known Face-Down Card in Spectate,Montrer les cartes visibles face cachée en Spectateur,Bekannte verdeckte Karten beim Zuschauen anzeigen,Mostra Carte Coperte Conosciute Nella Modalità Spettatore,Mostrar cards virados conhecidos ao Assistir,Mostrar cartas boca abajo conocidas mientras se observa el duelo,観戦中に公開情報のセットカードを透過で表示する,관전 중에 공개 정보인 세트 카드 투과 표시
回放中显示已知盖卡,回放中顯示已知蓋卡,Show Known Face-Down Card in Replay,Afficher les cartes visibles face cachée en Replay,Bekannte verdeckte Karten in Wiederholungen anzeigen,Mostra Carte Coperte Conosciute Nel Replay,Mostrar cards virados conhecidos no replay,Mostrar cartas boca abajo conocidas durante la repetición,リプレイ中に公開情報のセットカードを透過で表示する,리플레이 중에 공개 정보인 세트 카드 투과 표시
自动全时点,自動全時點,Auto Activation Confirmation,Confirmation d'activation automatique,Automatische Aktivierungsbestätigung,Conferma Di Attivazione Automatica,Janela de Confirmação de Ativação de Efeito,Confirmación de Cadena,常に発動を確認する,항상 발동 확인
决斗开始时的时点选项设置为全时点,決斗開始時的時點選項設置為全時點,Set Activation Confirmation at the Beginning of the Duel,Définir la confirmation d'activation au début du Duel,Aktivierungsabfrage zu Beginn eines Duells setzen,Imposta La Conferma Di Attivazione Ad Inizio Duello,"Define a Confirmação de Ativação no início do Duelo para ""Ligado""",Iniciar el duelo con el encadenado de efectos deshabilitado,デュエル開始後、常に発動を確認する,"듀얼 시작 후, 항상 발동 확인"
自动猜拳,自動猜拳,Auto Rock-Paper-Scissors,Auto Pierre-Papier-Ciseaux,Auto Schere-Stein-Papier,Sasso-Carta-Forbice Automatico,Auto-pedra-papel-tesoura,"Auto-elegir Piedra, papel o tijeras",自動じゃんけん,자동 가위바위보
决斗开始时自动随机猜拳,決斗開始時自動隨機猜拳,Auto Rock-Paper-Scissors at the Beginning of the Duel,Auto pierre-papier-ciseaux au début du Duel,Automatisch Schere-Stein-Papier zu Beginn des Duells ausführen,Sasso-Carta-Forbice Automatico Ad Inizio Duello,Resultado Automatico de pedra-papel-tesoura antes do Duelo,"Al comienzo del duelo, auto-elige al azar Piedra, papel o tijeras",デュエル開始時、自動的にじゃんけんを行う,"듀얼 시작시, 자동 가위바위보 실행"
#Setting Import/Export,,,,,,,,,
导入导出,導入匯出,Import/Export,Importation/exportation,Importieren/Exportieren,Importa/Esporta,Importar/Exportar,Importar | Exportar,導入・輸出,가져오기·내보내기
导入,導入,Import,Importation,Importieren,Importa,Importar,Importar,導入,가져오기
导入卡组文件(ydk)、回放文件(yrp|yrp3d)、扩展卡文件(ypk)、自定义卡图(jpg|png)、动态卡图(mp4)等,導入卡組文件(ydk)、回訪檔案(yrp|yrp3d)、擴展卡檔案(ypk)、自定義卡圖(jpg|png)、動態卡圖(mp4)等,"Import Deck File (ydk), Replay File (yrp|yrp3d), Expansion File (ypk), Custom Card Image (jpg|png), Animated Card Art (mp4) etc","Importer un fichier de Deck (ydk), un fichier de replay (yrp|yrp3d), un fichier d’extension (ypk), une image de carte personnalisée (jpg|png), une Illustrations de Carte Animées (mp4), etc.","Importiere Deck-Datei (.ydk), Wiederholung (.yrp|.yrp3d), Erweiterung (.ypk), benutzerdefinierte Kartenbilder (.jpg|.png), Animierte Kartengrafik (mp4) etc.","Importa File Del Deck (YDK), File Del Replay (YRP|YRP3d), File Di Espansione (YPK), Immagine Carta Personalizzata (JPG|PNG), Illustrazione Animata della Carta (mp4) Ecc","Importar decks (ydk), replays (yrp|yrp3d), expansões (ypk), imagens (jpg|png), Arte Animada do Card (mp4), etc","Importar deck (ydk), repetición (yrp|yrp3d), expansión (ypk), imagen de cartas personalizadas (jpg|png), Estilo Animado de Cartas (mp4) etc",デッキ（ydk）、リプレイ（yrp|yrp3d）、拡張ファイル（ypk）、非公式画像（jpg|png）等の導入、カードアニメション (mp4),"덱(ydk), 리플레이(yrp|yrp3d), 확장 파일(ypk), 비공식 이미지(jpg|png) 등을 가져오기, 애니메이션 카드 일러스트 (mp4)"
请选择需要导入的文件,請選擇需要導入的檔案,Please Select the File that you want to Import,Veuillez sélectionner le fichier que vous souhaitez importer,"Bitte wähle die Datei aus, die du importieren möchtest",Seleziona Il File Da Importare,Selecione os arquivos a serem importados,Seleccione el archivo que desea importar,導入するファイルを選択してください,가져올 파일을 선택하세요
所有文件,所有檔案,All Files,Tous les fichiers,Alle Dateien,Tutti I File,Todos os arquivos,Todos los archivos,全てのファイル,모든 파일
卡组码文件,牌組碼檔案,Deck File,Fichier de Deck,Deck-Datei,File Del Deck,Decks,Archivo de deck,デッキコードファイル,덱 코드 파일
回放文件,回放檔案,Replay File,Fichier de Replay,Wiederholungs-Datei,File Del Replay,Replays,Archivo de repetición,リプレイファイル,리플레이 파일
扩展卡文件,擴展卡檔案,Expansion File,Fichier d'extension,Erweiterungs-Datei,File Di Espansione,Expansões,Archivo de expansión,拡張ファイル,확장 파일
数据库文件,資料庫檔案,Database File,Fichier de base de données,Datenbank-Datei,File Di Database,Banco de dados,Archivo de base de datos,データベース,데이터베이스
字段文件,字段檔案,String File,Fichier de chaîne,Textdatei,File Di Stringa,Arquivos de textos,Archivo de configuración,テキストファイル,텍스트 파일
图片文件,圖片檔案,Image File,Fichier image,Bilddatei,File Immagine,Imagens,Archivo de imagen,画像ファイル,이미지 파일
请选择导出目录,請選擇匯出目錄,Please Select the Export Directory,Veuillez sélectionner le dossier d'exportation,Bitte wähle ein Exportverzeichnis,Seleziona La Cartella Di Esportazione,Selecione a pasta de destino,"Por favor, seleccione el directorio de exportación",輸出フォルダを選択してください,내보낼 폴더를 선택하세요
导入背景图,導入背景圖,Import DIY BG Image,Importer un fond d'écran personnalisé,DIY-Hintergrundbild importieren,Importa Immagine Di Sfondo,Importar Fundo Personalizado,Importar imagen de fondo,背景絵を導入,배경화면 가져오기
导入图片作为背景图(jpg|png),導入圖片作為背景圖(jpg|png),Import Image as DIY Background Image (jpg|png),Importer l'image en tant qu'image d'arrière-plan personnalisé (jpg|png),Bild als benutzerdefiniertes Hintergrundbild importieren (.jpg|.png),Importa Immagine Come Sfondo (Jpg|png),Importar imagem como Fundo Personalizado (jpg|png),Importar imágenes para establecer como fondo (jpg|png),導入した絵を背景に設定する（jpg|png）,가져온 그림을 배경화면으로 설정 (jpg/png)
导出卡组,匯出牌組,Export Decks,Exporter les Decks,Decks exportieren,Esporta Deck,Exportar Decks,Exportar deck,デッキ輸出,덱 내보내기
